latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,latitude,longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links,wind
41.50245,-74.00505,Sandy,Mud,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYORA07521,,,,NY,Orange County,,Yes,,41.50245,-74.00505,6376,,7521,24,1,2,on door of marina office building,,8.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
41.50418,-74.0048,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYORA07521,,,,NY,Orange County,,Yes,,41.50245,-74.00505,6377,,7521,24,5,2,on inside of door to restroom of Newburgh Marina,,8.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
41.50464,-74.00516,Sandy,Stain line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYORA07521,,,,NY,Orange County,,Yes,,41.50245,-74.00505,6378,,7521,24,6,3,on ground in parking lot divider,,9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
41.38333,-73.95555,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYORA07522,,,,NY,Orange County,,Yes,,41.38333,-73.95555,6379,,7522,24,5,3,"on inside of USGS streamgage - 01374019 - Hudson River at South Dock at West Point, NY",,8.6,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.715556,-73.920556,Sandy,Stain line,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07523,,,,NY,Queens County,,Yes,,40.715556,-73.920556,6380,,7523,24,6,1,on door of storage container,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.74922,-73.840718,Sandy,Debris,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07524,,,,NY,Queens County,,Yes,,40.74922,-73.840718,6381,,7524,24,2,3,on lawn,,7.8,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.59296,-73.79644,Sandy,Debris,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07525,,,,NY,Queens County,,Yes,,40.59296,-73.79644,6382,,7525,24,2,2,on fence,,10.7,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.77994,-73.74918,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07526,,,,NY,Queens County,,Yes,,40.77994,-73.74918,6383,,7526,24,5,2,on power pole in park,,10.3,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.79284,-73.84929,Sandy,Stain line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07527,,,,NY,Queens County,,Yes,,40.79284,-73.84929,6384,,7527,24,6,2,in park,,10.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.74169,-73.95904,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYQUE07528,,,,NY,Queens County,,Yes,,40.74169,-73.95904,6385,,7528,24,5,2,on Amtrak facility,,10.7,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
